,F1-score
0,0.8497
1,0.8728
2,0.8728
3,0.8555
4,0.8844
5,0.8555
6,0.8671
7,0.8439
8,0.8844
9,0.8613
10,0.8728
11,0.8613
12,0.8439
13,0.8613
14,0.8613
15,0.8728
16,0.8613
17,0.8728
18,0.8786
19,0.8728
20,0.8613
21,0.8728
22,0.8613
23,0.8728
24,0.8439
25,0.8671
26,0.8613
27,0.8613
28,0.8613
29,0.8728
30,0.8786
31,0.8844
32,0.8439
33,0.8613
34,0.8786
35,0.8728
36,0.8497
37,0.8613
38,0.8613
39,0.8613
40,0.8555
41,0.8671
42,0.8439
43,0.8555
44,0.8613
45,0.8613
46,0.8497
47,0.8728
48,0.8728
49,0.8613
50,0.8671
51,0.8497
52,0.8786
53,0.8439
54,0.8439
55,0.8555
56,0.8555
57,0.8555
58,0.8786
59,0.8671
60,0.8844
61,0.8728
62,0.8671
63,0.8786
64,0.8671
65,0.8786
66,0.8671
67,0.8555
68,0.8613
69,0.8555
70,0.8671
71,0.8555
72,0.8613
73,0.8613
74,0.8671
75,0.8555
76,0.8497
77,0.8671
78,0.8439
79,0.8497
80,0.8497
81,0.8555
82,0.8439
83,0.8497
84,0.8613
85,0.8728
86,0.8497
87,0.8671
88,0.8786
89,0.8497
90,0.8671
91,0.8555
92,0.8671
93,0.8728
94,0.8613
95,0.8497
96,0.8613
97,0.8728
98,0.8728
99,0.8613
100,0.8671
101,0.8382
102,0.8728
103,0.8902
104,0.8555
105,0.8613
106,0.8613
107,0.8671
108,0.8671
109,0.8613
110,0.8671
111,0.8613
112,0.8671
113,0.8555
114,0.8728
115,0.8613
116,0.8613
117,0.8497
118,0.8728
119,0.8555
120,0.8497
121,0.8613
122,0.8555
123,0.8671
124,0.8671
125,0.8786
126,0.8613
127,0.8439
128,0.8728
129,0.8728
130,0.8671
131,0.8786
132,0.8439
133,0.8786
134,0.8613
135,0.8786
136,0.8728
137,0.8555
138,0.8671
139,0.8671
140,0.8844
141,0.8671
142,0.8728
143,0.8555
144,0.8555
145,0.8613
146,0.8728
147,0.8844
148,0.8671
149,0.8613
150,0.8671
151,0.8497
152,0.8613
153,0.8439
154,0.8786
155,0.8613
156,0.8728
157,0.8728
158,0.8902
159,0.8555
160,0.8555
161,0.8671
162,0.8497
163,0.8728
164,0.8786
165,0.8728
166,0.8671
167,0.8671
168,0.8671
169,0.8382
170,0.8613
171,0.8613
172,0.8613
173,0.8555
174,0.8555
175,0.8671
176,0.8555
177,0.8671
178,0.8671
179,0.8786
180,0.8613
181,0.8613
182,0.8613
183,0.8613
184,0.8728
185,0.8671
186,0.8671
187,0.8324
188,0.8728
189,0.8671
190,0.8671
191,0.8671
192,0.8844
193,0.8613
194,0.8497
195,0.8613
196,0.8728
197,0.8844
198,0.8555
199,0.8613
200,0.8671
201,0.8555
202,0.8728
203,0.8613
204,0.8497
205,0.8613
206,0.8555
207,0.8555
208,0.8671
209,0.8497
210,0.8671
211,0.8671
212,0.8728
213,0.8671
214,0.8555
215,0.8555
216,0.8671
217,0.8555
218,0.8497
219,0.8728
220,0.8613
221,0.8497
222,0.8671
223,0.8555
224,0.8671
225,0.8671
226,0.8613
227,0.8555
228,0.8613
229,0.8382
230,0.8671
231,0.8671
232,0.8728
233,0.8844
234,0.8671
235,0.8844
236,0.8613
237,0.8613
238,0.8613
239,0.8613
240,0.8555
241,0.8902
242,0.8671
243,0.8728
244,0.8555
245,0.8728
246,0.8497
247,0.8671
248,0.8613
249,0.8555
250,0.8497
251,0.8786
252,0.8671
253,0.8786
254,0.8671
255,0.8728
256,0.8844
257,0.8613
258,0.8266
259,0.8497
260,0.8671
261,0.8786
262,0.8728
263,0.8728
264,0.8382
265,0.8613
266,0.8555
267,0.8555
268,0.8439
269,0.8671
270,0.8671
271,0.8555
272,0.8671
273,0.8555
274,0.8728
275,0.8497
276,0.8728
277,0.8728
278,0.8728
279,0.8728
280,0.8728
281,0.8671
282,0.8613
283,0.8613
284,0.8439
285,0.8497
286,0.8728
287,0.8555
288,0.8382
289,0.8844
290,0.8728
291,0.8613
292,0.8786
293,0.8728
294,0.8671
295,0.8555
296,0.8613
297,0.8844
298,0.8613
299,0.8555
300,0.8671
301,0.8613
302,0.8728
303,0.8555
304,0.8613
305,0.8671
306,0.8671
307,0.8555
308,0.8497
309,0.8728
