	Absiella_dolichum	Acetivibrio_ethanolgignens	Agathobaculum_desmolans	Alistipes_finegoldii	Alistipes_inops	Alistipes_obesi	Alistipes_putredinis	Alistipes_senegalensis	Alistipes_shahii	Alistipes_sp_MarseilleP5997	Alistipes_timonensis	Anaerostipes_hadrus	Anaerotignum_lactatifermentans	Anaerotruncus_colihominis	Angelakisella_massiliensis	Bacteroides_barnesiae	Bacteroides_caccae	Bacteroides_caecimuris	Bacteroides_cellulosilyticus	Bacteroides_coprocola	Bacteroides_coprophilus	Bacteroides_dorei	Bacteroides_faecichinchillae	Bacteroides_fluxus	Bacteroides_fragilis	Bacteroides_helcogenes	Bacteroides_heparinolyticus	Bacteroides_nordii	Bacteroides_ovatus	Bacteroides_pectinophilus	Bacteroides_plebeius	Bacteroides_pyogenes	Bacteroides_reticulotermitis	Bacteroides_salanitronis	Bacteroides_salyersiae	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_zoogleoformans	Barnesiella_intestinihominis	Barnesiella_viscericola	Bilophila_wadsworthia	Bittarella_massiliensis	Blautia_hansenii	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_schinkii	Blautia_sp_N6H115	Butyricicoccus_pullicaecorum	Butyricimonas_sp_H184	Butyrivibrio_crossotus	Christensenella_minuta	Clostridiales_bacterium	Clostridium_asparagiforme	Clostridium_bolteae	Clostridium_citroniae	Clostridium_glycyrrhizinilyticum	Clostridium_innocuum	Clostridium_leptum	Clostridium_methylpentosum	Clostridium_phoceensis	Clostridium_scindens	Clostridium_sporogenes	Clostridium_symbiosum	Collinsella_aerofaciens	Coprobacter_fastidiosus	Coprobacter_secundus	Coprococcus_comes	Coprococcus_eutactus	Culturomica_massiliensis	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Emergencia_timonensis	Erysipelotrichaceae_bacterium	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Faecalicatena_contorta	Faecalitalea_cylindroides	Flavonifractor_plautii	Fournierella_massiliensis	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Holdemania_massiliensis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Lachnoclostridium_phocaeense	Lachnoclostridium_sp_YL32	Lachnospiraceae_bacterium	Lactobacillus_rogosae	Lactonifactor_longoviformis	Marvinbryantia_formatexigens	Massilioclostridium_coli	Mediterranea_massiliensis	Merdibacter_massiliensis	Merdimonas_faecis	Mordavella_sp_MarseilleP3756	Negativibacillus_massiliensis	Neglecta_timonensis	Odoribacter_laneus	Odoribacter_splanchnicus	Oscillibacter_sp_PEA192	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_johnsonii	Parabacteroides_sp_CT06	Paraprevotella_xylaniphila	Phocea_massiliensis	Prevotella_copri	Prevotella_stercorea	Prevotellamassilia_timonensis	Provencibacterium_massiliense	Pseudoflavonifractor_capillosus	Rikenella_microfusus	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bicirculans	Ruminococcus_callidus	Ruminococcus_faecis	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Sellimonas_intestinalis	Subdoligranulum_variabile	Traorella_massiliensis	Tyzzerella_nexilis	bacterium_LF3	ROLE_ID	SubRole	MainRole	Role
TIGR02497	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	97.0	Protein and peptide secretion and trafficking	Protein fate	Protein fate::Protein and peptide secretion and trafficking
TIGR00366	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	156.0	Conserved	Hypothetical proteins	Hypothetical proteins::Conserved
TIGR00283	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.6591860981115167	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	136.0	Other	Protein synthesis	Protein synthesis::Other
TIGR02100	-0.0	-0.14004008669917248	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.1349399469588377	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-2.231754598135733	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-4.1798102129342345	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.7291352921336307	-0.0	-0.0	0.0	-0.0	0.0	-0.9037435961039353	-0.0	1.5347776597970635	-0.0	-0.0	-0.0	1.5054996381791663	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	3.977861021193555	-0.0	0.0	0.0	-1.1568836478712776	-0.0	0.0	0.6591860981115167	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.7400496691116245	0.0	0.0	-3.5098682118199056	-0.0	-0.0	0.0	-0.0	-0.1720388361482015	0.41493022092951565	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	1.1636549201840332	0.0	0.0	0.0	-2.126814118211929	0.0	-0.0	0.0	-0.0	105.0	Biosynthesis and degradation of polysaccharides	Energy metabolism	Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02359	-0.0	-0.0	0.6429094699166533	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	4.480404553822331	-1.0659295245905545	0.8801567504382499	-0.1349399469588377	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.47592419067515956	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-1.8073483217047663	0.0	0.7499025246461369	6.513113017933379	-0.0	0.0	-0.13251522984402297	0.0	-0.2130654450547253	-0.0	0.0	0.20107768692062647	4.19232378053765	0.7291352921336307	-0.0	-1.0452678001206825	0.0	-0.0	2.089253149911853	-0.0	-0.0	3.069555319594127	-0.0	-0.0	-0.0	1.5054996381791663	-0.0	-0.0	0.0	1.9251886695211105	-0.0	-0.0	-0.0	0.0	0.0	1.065794041560594	3.977861021193555	-3.7012761516250032	0.0	5.485715728447127	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.7423108985839058	-0.0	0.0	-0.5313041635006331	-0.7400496691116245	2.831372307474882	0.5780448590588724	-0.0	-0.0	-1.1341692001589256	0.0	-0.0	-0.1720388361482015	0.41493022092951565	0.0	-0.0	-0.0	0.0	3.1737428708032414	0.0	-0.0	0.0	0.0	-0.0	-0.4550934376659998	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	2.834515965702581	1.966945951636336	2.6876599861012553	2.080325729386042	-0.3213690769799475	-0.0	1.5300314394933037	0.0	1.349389742945768	0.0	0.0	-0.0	2.0245105506884364	-0.0	1.1943180983198747	-0.0	147.0	Other	Transport and binding proteins	Transport and binding proteins::Other
TIGR00224	-0.0	-0.14004008669917248	0.0	1.1773623036105751	-5.658727203244756	-0.553338201577393	2.58387844337468	-1.11043474306909	0.40383306276477265	-2.4554777969655657	-3.401704608323529	0.0	-0.0	0.0	-0.0	-2.7663069518015644	2.7776382801199437	2.9242908638110197	0.4983709666124295	2.547140677828612	1.833159649464711	3.241091924381116	0.8152516348570924	1.7525332136193414	10.432320927912928	-1.4703376216616517	-3.0329499347283195	0.07029325681743817	7.910482429787259	-0.47592419067515956	2.108852887515208	-2.535809401911646	-3.7379795298246803	-2.231754598135733	1.5776714503174487	3.403166780672923	6.3517235778800165	4.462437985425028	15.206756802868842	-3.6794856503863125	-1.212142218827261	-2.4570587451095514	-0.0	-0.0	0.43754728238622265	0.0	6.513113017933379	-0.0	0.23904692044732093	-0.0	0.6110465979399563	-0.2130654450547253	-2.6143869452777695	2.451851252764799	0.20107768692062647	4.19232378053765	0.7291352921336307	-0.07627137921557815	-0.0	0.0	-0.0	2.089253149911853	-0.0	-1.0729335427983164	0.0	-2.4015894173505585	-3.0390016843108754	-5.123128543373914	1.5054996381791663	-0.3765956529121468	-2.6811530468508207	1.5802309658325397	1.9251886695211105	-0.0	-0.0	-0.31743575464218743	1.8730144946795293	3.8460945315883377	1.065794041560594	3.977861021193555	-0.0	0.9807924738099068	5.485715728447127	-0.0	-0.0	0.0	0.0	2.929032305165018	-0.20186204923429207	-0.0	-0.0	0.7423108985839058	-0.0	0.0	-0.5313041635006331	-0.7400496691116245	5.662744614949764	0.5780448590588724	-0.0	-2.622525511114456	-0.0	0.9566633502486691	-0.0	-0.1720388361482015	0.41493022092951565	0.0	-0.0	-3.644836060607705	2.8789519095187526	3.1737428708032414	1.9473583659485407	-1.9831622224342396	2.182181997915264	2.441779731370914	-2.0743433818751758	-0.0	-2.4204210500703724	-2.4343536641211734	-1.431157130146921	-0.0	0.0	-4.676153355926701	2.834515965702581	1.966945951636336	2.6876599861012553	2.080325729386042	-0.3213690769799475	-0.0	1.5300314394933037	1.1636549201840332	1.349389742945768	1.5280396292809455	0.0	-2.126814118211929	2.0245105506884364	-0.0	1.1943180983198747	-1.4977765201588402	116.0	Glycolysis/gluconeogenesis	Energy metabolism	Energy metabolism::Glycolysis/gluconeogenesis
TIGR00745	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	2.2402022769111656	-1.0659295245905545	0.8801567504382499	-0.0	-2.7663069518015644	2.7776382801199437	2.9242908638110197	0.4983709666124295	2.547140677828612	1.833159649464711	3.241091924381116	0.8152516348570924	1.7525332136193414	10.432320927912928	-1.4703376216616517	-3.0329499347283195	0.07029325681743817	7.910482429787259	-0.47592419067515956	2.108852887515208	-0.0	-3.7379795298246803	-2.231754598135733	1.5776714503174487	3.403166780672923	6.3517235778800165	4.462437985425028	5.068918934289614	-3.6794856503863125	-0.0	-0.0	-0.0	-0.0	0.0	1.4998050492922739	6.513113017933379	-4.1798102129342345	0.23904692044732093	-0.13251522984402297	0.0	-0.4261308901094506	-0.0	2.451851252764799	0.40215537384125294	10.480809451344124	3.6456764606681533	-0.0	-1.0452678001206825	0.0	-0.0	0.0	-0.0	-1.0729335427983164	0.0	-2.4015894173505585	-0.0	-0.0	3.0109992763583326	-0.0	-0.0	1.5802309658325397	1.9251886695211105	-0.0	-2.652120155184266	-0.31743575464218743	1.8730144946795293	5.769141797382506	0.0	0.0	-0.0	0.0	5.485715728447127	-1.1568836478712776	-0.0	2.9951949085113108	0.0	2.929032305165018	-0.20186204923429207	-0.0	-0.0	1.4846217971678115	-0.17679712077825124	1.872189210016734	-1.0626083270012663	-2.2201490073348733	2.831372307474882	1.1560897181177447	-14.039472847279622	-2.622525511114456	-0.0	0.9566633502486691	-2.858862636851228	-0.0	0.41493022092951565	0.0	-0.0	-0.0	2.8789519095187526	3.1737428708032414	1.9473583659485407	-1.9831622224342396	2.182181997915264	2.441779731370914	-2.0743433818751758	-0.0	-0.0	-0.0	-1.431157130146921	-0.0	0.0	-4.676153355926701	2.834515965702581	1.966945951636336	0.0	0.0	-0.0	-0.0	0.0	0.0	1.349389742945768	0.0	0.9190487021248408	-2.126814118211929	0.0	-0.0	0.0	-1.4977765201588402	83.0	Pantothenate and coenzyme A	Biosynthesis of cofactors, prosthetic groups, and carriers	Biosynthesis of cofactors, prosthetic groups, and carriers::Pantothenate and coenzyme A
TIGR00260	-2.2837808022197135	-0.14004008669917248	0.6429094699166533	1.1773623036105751	-0.0	-0.553338201577393	0.0	-1.11043474306909	0.40383306276477265	-2.4554777969655657	-3.401704608323529	2.2402022769111656	-0.5329647622952772	0.8801567504382499	-0.1349399469588377	-2.7663069518015644	2.7776382801199437	2.9242908638110197	0.4983709666124295	2.547140677828612	1.833159649464711	3.241091924381116	0.8152516348570924	1.7525332136193414	10.432320927912928	-1.4703376216616517	-3.0329499347283195	0.07029325681743817	7.910482429787259	-0.47592419067515956	2.108852887515208	-2.535809401911646	-3.7379795298246803	-2.231754598135733	1.5776714503174487	3.403166780672923	6.3517235778800165	4.462437985425028	10.137837868579227	-3.6794856503863125	-1.212142218827261	-2.4570587451095514	-2.8032001967375493	-1.8073483217047663	0.43754728238622265	0.7499025246461369	6.513113017933379	-4.1798102129342345	0.23904692044732093	-0.13251522984402297	0.0	-0.2130654450547253	-2.6143869452777695	2.451851252764799	0.20107768692062647	4.19232378053765	0.7291352921336307	-0.07627137921557815	-1.0452678001206825	0.5073440805519831	-1.7128980550835702	2.089253149911853	-0.9037435961039353	-1.0729335427983164	1.5347776597970635	-2.4015894173505585	-3.0390016843108754	-2.561564271686957	1.5054996381791663	-0.3765956529121468	-0.0	1.5802309658325397	1.9251886695211105	-9.416290090652915	-2.652120155184266	-0.31743575464218743	1.8730144946795293	3.8460945315883377	1.065794041560594	3.977861021193555	-3.7012761516250032	0.9807924738099068	5.485715728447127	-1.1568836478712776	-2.3791802268166053	5.9903898170226215	0.6591860981115167	2.929032305165018	-0.20186204923429207	-7.738733427409675	-0.6387263270505562	0.7423108985839058	-0.17679712077825124	1.872189210016734	-0.5313041635006331	-0.7400496691116245	5.662744614949764	0.5780448590588724	-14.039472847279622	-2.622525511114456	-1.1341692001589256	0.9566633502486691	-2.858862636851228	-0.1720388361482015	0.41493022092951565	0.0	-0.7616078259224933	-0.0	0.0	6.347485741606483	1.9473583659485407	-1.9831622224342396	2.182181997915264	2.441779731370914	-2.0743433818751758	-0.0	-2.4204210500703724	-0.0	-0.0	-1.2889298686868005	1.8624256294217736	-0.0	2.834515965702581	1.966945951636336	2.6876599861012553	2.080325729386042	-0.3213690769799475	-0.7951481747143274	1.5300314394933037	1.1636549201840332	1.349389742945768	1.5280396292809455	0.9190487021248408	-2.126814118211929	2.0245105506884364	-2.75800921680707	1.1943180983198747	-1.4977765201588402	71.0	Aspartate family	Amino acid biosynthesis	Amino acid biosynthesis::Aspartate family
TIGR04171	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.17679712077825124	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	123.0	2'-Deoxyribonucleotide metabolism	Purines, pyrimidines, nucleosides, and nucleotides	Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism
TIGR01419	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	700.0	PTS	Signal transduction	Signal transduction::PTS
