	Absiella_dolichum	Acetivibrio_ethanolgignens	Agathobaculum_desmolans	Alistipes_finegoldii	Alistipes_inops	Alistipes_obesi	Alistipes_putredinis	Alistipes_senegalensis	Alistipes_shahii	Alistipes_sp_MarseilleP5997	Alistipes_timonensis	Anaerostipes_hadrus	Anaerotignum_lactatifermentans	Anaerotruncus_colihominis	Angelakisella_massiliensis	Bacteroides_barnesiae	Bacteroides_caccae	Bacteroides_caecimuris	Bacteroides_cellulosilyticus	Bacteroides_coprocola	Bacteroides_coprophilus	Bacteroides_dorei	Bacteroides_faecichinchillae	Bacteroides_fluxus	Bacteroides_fragilis	Bacteroides_helcogenes	Bacteroides_heparinolyticus	Bacteroides_nordii	Bacteroides_ovatus	Bacteroides_pectinophilus	Bacteroides_plebeius	Bacteroides_pyogenes	Bacteroides_reticulotermitis	Bacteroides_salanitronis	Bacteroides_salyersiae	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_zoogleoformans	Barnesiella_intestinihominis	Barnesiella_viscericola	Bilophila_wadsworthia	Bittarella_massiliensis	Blautia_hansenii	Blautia_hydrogenotrophica	Blautia_obeum	Blautia_schinkii	Blautia_sp_N6H115	Butyricicoccus_pullicaecorum	Butyricimonas_sp_H184	Butyrivibrio_crossotus	Christensenella_minuta	Clostridiales_bacterium	Clostridium_asparagiforme	Clostridium_bolteae	Clostridium_citroniae	Clostridium_glycyrrhizinilyticum	Clostridium_innocuum	Clostridium_leptum	Clostridium_methylpentosum	Clostridium_phoceensis	Clostridium_scindens	Clostridium_sporogenes	Clostridium_symbiosum	Collinsella_aerofaciens	Coprobacter_fastidiosus	Coprobacter_secundus	Coprococcus_comes	Coprococcus_eutactus	Culturomica_massiliensis	Dorea_formicigenerans	Dorea_longicatena	Eggerthella_lenta	Emergencia_timonensis	Erysipelotrichaceae_bacterium	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Faecalicatena_contorta	Faecalitalea_cylindroides	Flavonifractor_plautii	Fournierella_massiliensis	Fusicatenibacter_saccharivorans	Gemmiger_formicilis	Gordonibacter_pamelaeae	Holdemania_massiliensis	Hungatella_hathewayi	Intestinibacter_bartlettii	Intestinimonas_butyriciproducens	Lachnoclostridium_phocaeense	Lachnoclostridium_sp_YL32	Lachnospiraceae_bacterium	Lactobacillus_rogosae	Lactonifactor_longoviformis	Marvinbryantia_formatexigens	Massilioclostridium_coli	Mediterranea_massiliensis	Merdibacter_massiliensis	Merdimonas_faecis	Mordavella_sp_MarseilleP3756	Negativibacillus_massiliensis	Neglecta_timonensis	Odoribacter_laneus	Odoribacter_splanchnicus	Oscillibacter_sp_PEA192	Parabacteroides_distasonis	Parabacteroides_goldsteinii	Parabacteroides_johnsonii	Parabacteroides_sp_CT06	Paraprevotella_xylaniphila	Phocea_massiliensis	Prevotella_copri	Prevotella_stercorea	Prevotellamassilia_timonensis	Provencibacterium_massiliense	Pseudoflavonifractor_capillosus	Rikenella_microfusus	Roseburia_faecis	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_bicirculans	Ruminococcus_callidus	Ruminococcus_faecis	Ruminococcus_gnavus	Ruminococcus_lactaris	Ruminococcus_torques	Ruthenibacterium_lactatiformans	Sellimonas_intestinalis	Subdoligranulum_variabile	Traorella_massiliensis	Tyzzerella_nexilis	bacterium_LF3	ROLE_ID	SubRole	MainRole	Role
TIGR02497	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	97.0	Protein and peptide secretion and trafficking	Protein fate	Protein fate::Protein and peptide secretion and trafficking
TIGR00366	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	156.0	Conserved	Hypothetical proteins	Hypothetical proteins::Conserved
TIGR00283	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.17853657070502515	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	136.0	Other	Protein synthesis	Protein synthesis::Other
TIGR02100	-0.0	-0.3352653997714071	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.15737138890120947	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-1.6745140368671285	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-3.354346937340295	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.5099803826207274	-0.0	-0.0	0.0	-0.0	0.0	-1.1446558256008086	-0.0	0.4938971335572402	-0.0	-0.0	-0.0	1.046614375181855	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	3.874248223991686	-0.0	0.0	0.0	-2.479377670176706	-0.0	0.0	0.17853657070502515	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-2.4242430567387245	0.0	0.0	-3.321585083161224	-0.0	-0.0	0.0	-0.0	-1.2874264642549347	-0.1832544238471114	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045805307074925465	0.0	0.0	0.0	-1.6267461145921756	0.0	-0.0	0.0	-0.0	105.0	Biosynthesis and degradation of polysaccharides	Energy metabolism	Energy metabolism::Biosynthesis and degradation of polysaccharides
TIGR02359	-0.0	-0.0	-0.17959174185634702	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	3.5781799657356963	-1.475283901456563	0.9808400834270327	0.15737138890120947	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.058903392063342226	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-1.8233383814109876	-0.0	-0.6597665824087103	4.576197518225532	-0.0	-0.0	-0.7300597639153237	0.0	0.38532939423612456	-0.0	0.0	-0.5793346525778786	1.371235113579035	-0.5099803826207274	-0.0	-1.7880595397040995	0.0	-0.0	1.477180774506482	-0.0	-0.0	0.9877942671144804	-0.0	-0.0	-0.0	1.046614375181855	0.0	-0.0	0.0	1.1003156696048264	-0.0	-0.0	-0.0	0.0	0.0	0.37417068074778403	3.874248223991686	-0.016837726414409917	0.0	4.864298019997697	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.006274334062169174	-0.0	0.0	-1.2121803058876643	-2.4242430567387245	2.8614750074724995	1.1298089522016568	-0.0	-0.0	-0.7395513798968318	0.0	-0.0	-1.2874264642549347	-0.1832544238471114	0.0	-0.0	-0.0	0.0	1.802805577428158	0.0	-0.0	0.0	0.0	-0.0	-0.7063341588081401	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	3.013300176150021	1.7166667699637659	2.5558745088235333	2.090634860333258	0.9942750402027973	0.0	1.4318127225076223	0.0	0.7639345788649208	0.0	0.0	-0.0	1.1712330649644587	-0.0	0.992977287875349	-0.0	147.0	Other	Transport and binding proteins	Transport and binding proteins::Other
TIGR00224	-0.0	-0.3352653997714071	-0.0	1.807259325244223	-3.6449138134410326	0.6874394260325949	3.1917270578718235	0.20227470846558107	1.919169072668449	-0.6758902850781761	-0.9947414165914863	0.0	-0.0	0.0	0.0	-1.5612855012958657	2.5267291790115958	2.239239422905306	1.4530128905970738	1.8649911298557444	1.1539916733773792	3.3200920943984764	0.47571194185272364	1.0310379927470847	5.144757222943373	-0.899938259469835	-2.5752864834157365	0.24203203409237692	5.875895573008185	0.058903392063342226	1.7202461750711802	-2.7868067499475333	-4.006455575662858	-1.6745140368671285	1.0175097504752402	2.389390237676828	5.654336928555444	4.039520357056215	14.862360722329292	-2.79053290471043	0.7894386803939067	-1.9616954046286208	-0.0	-0.0	-0.7281764218632334	-0.0	4.576197518225532	-0.0	-0.7979299688912396	-0.0	0.5704886947046807	0.38532939423612456	-1.9802599833733514	1.9985541858064284	-0.5793346525778786	1.371235113579035	-0.5099803826207274	-0.35972873219412255	-0.0	0.0	-0.0	1.477180774506482	-0.0	-1.2253598476520615	0.0	-0.7390984671396831	-1.3185862067457927	-3.7950252082392884	1.046614375181855	0.535725205257222	-1.5635360610938656	0.9115706827658192	1.1003156696048264	-0.0	-0.0	-0.8883354727644321	1.7741440977148664	2.330146092389632	0.37417068074778403	3.874248223991686	-0.0	1.39918036438156	4.864298019997697	-0.0	-0.0	0.0	0.0	2.2859190143051227	1.147081201147749	-0.0	-0.0	0.006274334062169174	-0.0	0.0	-1.2121803058876643	-2.4242430567387245	5.722950014944999	1.1298089522016568	-0.0	-1.8310404531689715	-0.0	1.5378918954722156	-0.0	-1.2874264642549347	-0.1832544238471114	0.0	-0.0	-2.7099091832822992	2.1119917282680163	1.802805577428158	1.4908284761785318	-0.7508179404598949	1.8657300877995426	2.1411973569069804	-1.9912520732929757	-0.0	-1.2855024818679408	-1.461801316561277	-0.960577085266234	-0.0	0.0	-3.7401502172393655	3.013300176150021	1.7166667699637659	2.5558745088235333	2.090634860333258	0.9942750402027973	0.0	1.4318127225076223	0.045805307074925465	0.7639345788649208	0.5004680812958815	0.0	-1.6267461145921756	1.1712330649644587	-0.0	0.992977287875349	-0.961742224958275	116.0	Glycolysis/gluconeogenesis	Energy metabolism	Energy metabolism::Glycolysis/gluconeogenesis
TIGR00745	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	1.7890899828678481	-1.475283901456563	0.9808400834270327	0.0	-1.5612855012958657	2.5267291790115958	2.239239422905306	1.4530128905970738	1.8649911298557444	1.1539916733773792	3.3200920943984764	0.47571194185272364	1.0310379927470847	5.144757222943373	-0.899938259469835	-2.5752864834157365	0.24203203409237692	5.875895573008185	0.058903392063342226	1.7202461750711802	-0.0	-4.006455575662858	-1.6745140368671285	1.0175097504752402	2.389390237676828	5.654336928555444	4.039520357056215	4.95412024077643	-2.79053290471043	0.0	-0.0	-0.0	-0.0	-0.0	-1.3195331648174207	4.576197518225532	-3.354346937340295	-0.7979299688912396	-0.7300597639153237	0.0	0.7706587884722491	-0.0	1.9985541858064284	-1.1586693051557573	3.4280877839475874	-2.5499019131036373	-0.0	-1.7880595397040995	0.0	-0.0	0.0	-0.0	-1.2253598476520615	0.0	-0.7390984671396831	-0.0	-0.0	2.09322875036371	0.0	-0.0	0.9115706827658192	1.1003156696048264	-0.0	-1.465529999871091	-0.8883354727644321	1.7741440977148664	3.495219138584448	0.0	0.0	-0.0	0.0	4.864298019997697	-2.479377670176706	-0.0	1.4131957882343753	0.0	2.2859190143051227	1.147081201147749	-0.0	-0.0	0.012548668124338348	-1.1836239587287813	1.0780646710420843	-2.4243606117753287	-7.272729170216174	2.8614750074724995	2.2596179044033136	-13.286340332644896	-1.8310404531689715	-0.0	1.5378918954722156	-2.765766054225051	-0.0	-0.1832544238471114	0.0	-0.0	-0.0	2.1119917282680163	1.802805577428158	1.4908284761785318	-0.7508179404598949	1.8657300877995426	2.1411973569069804	-1.9912520732929757	-0.0	-0.0	-0.0	-0.960577085266234	-0.0	0.0	-3.7401502172393655	3.013300176150021	1.7166667699637659	0.0	0.0	0.0	0.0	0.0	0.0	0.7639345788649208	0.0	0.6042441872452372	-1.6267461145921756	0.0	-0.0	0.0	-0.961742224958275	83.0	Pantothenate and coenzyme A	Biosynthesis of cofactors, prosthetic groups, and carriers	Biosynthesis of cofactors, prosthetic groups, and carriers::Pantothenate and coenzyme A
TIGR00260	-2.463836015330663	-0.3352653997714071	-0.17959174185634702	1.807259325244223	-0.0	0.6874394260325949	0.0	0.20227470846558107	1.919169072668449	-0.6758902850781761	-0.9947414165914863	1.7890899828678481	-0.7376419507282815	0.9808400834270327	0.15737138890120947	-1.5612855012958657	2.5267291790115958	2.239239422905306	1.4530128905970738	1.8649911298557444	1.1539916733773792	3.3200920943984764	0.47571194185272364	1.0310379927470847	5.144757222943373	-0.899938259469835	-2.5752864834157365	0.24203203409237692	5.875895573008185	0.058903392063342226	1.7202461750711802	-2.7868067499475333	-4.006455575662858	-1.6745140368671285	1.0175097504752402	2.389390237676828	5.654336928555444	4.039520357056215	9.90824048155286	-2.79053290471043	0.7894386803939067	-1.9616954046286208	-1.9380725257197822	-1.8233383814109876	-0.7281764218632334	-0.6597665824087103	4.576197518225532	-3.354346937340295	-0.7979299688912396	-0.7300597639153237	0.0	0.38532939423612456	-1.9802599833733514	1.9985541858064284	-0.5793346525778786	1.371235113579035	-0.5099803826207274	-0.35972873219412255	-1.7880595397040995	0.8146487903264424	-1.7082299720422471	1.477180774506482	-1.1446558256008086	-1.2253598476520615	0.4938971335572402	-0.7390984671396831	-1.3185862067457927	-1.8975126041196442	1.046614375181855	0.535725205257222	-0.0	0.9115706827658192	1.1003156696048264	-13.09787522110417	-1.465529999871091	-0.8883354727644321	1.7741440977148664	2.330146092389632	0.37417068074778403	3.874248223991686	-0.016837726414409917	1.39918036438156	4.864298019997697	-2.479377670176706	-1.739492270005721	2.8263915764687506	0.17853657070502515	2.2859190143051227	1.147081201147749	-7.563423413528465	-1.5121166159048562	0.006274334062169174	-1.1836239587287813	1.0780646710420843	-1.2121803058876643	-2.4242430567387245	5.722950014944999	1.1298089522016568	-13.286340332644896	-1.8310404531689715	-0.7395513798968318	1.5378918954722156	-2.765766054225051	-1.2874264642549347	-0.1832544238471114	0.0	-0.41962017286903397	-0.0	0.0	3.605611154856316	1.4908284761785318	-0.7508179404598949	1.8657300877995426	2.1411973569069804	-1.9912520732929757	-0.0	-1.2855024818679408	-0.0	-0.0	-1.2956952192714957	1.117241024695872	-0.0	3.013300176150021	1.7166667699637659	2.5558745088235333	2.090634860333258	0.9942750402027973	0.14073853517847698	1.4318127225076223	0.045805307074925465	0.7639345788649208	0.5004680812958815	0.6042441872452372	-1.6267461145921756	1.1712330649644587	-1.9824208100762621	0.992977287875349	-0.961742224958275	71.0	Aspartate family	Amino acid biosynthesis	Amino acid biosynthesis::Aspartate family
TIGR04171	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-1.1836239587287813	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	123.0	2'-Deoxyribonucleotide metabolism	Purines, pyrimidines, nucleosides, and nucleotides	Purines, pyrimidines, nucleosides, and nucleotides::2'-Deoxyribonucleotide metabolism
TIGR01419	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	700.0	PTS	Signal transduction	Signal transduction::PTS
